,outlet,headline,body,political_leaning
73388,NBC News,"Trump's assistant out abruptly at White House, heads to campaign","President Donald Trump's longtime personal aide John McEntee is out at the White House, marking yet another departure in an executive office marked by a revolving door of hirings and firings.
CNN reported that McEntee was fired because he is being investigated by the Department of Homeland Security for serious financial crimes, and that he still had not received security clearance for his work. NBC has not confirmed that report.
He will take a job with Trump's re-election campaign, the campaign said Tuesday morning in a release.
McEntee was by Trump's side during the 2016 campaign and during the president's first year at the White House, but struggled to get the necessary security clearances for this role. As of November, McEntee was working with interim security clearances.
""We’re not going to comment on a personnel issue,"" a senior White House official told NBC News about McEntee's changing jobs.
McEntee was one of the president's longest lasting aides and present for some of Trump's biggest moments this year, including last week's surprise announcement of forthcoming talks with the North Korean leader, Kim Jong Un.",CENTER
35493,Fox News,Here's what the controversial House Intel surveillance memo says,"The controversial memo purportedly detailing federal surveillance abuses was declassified and released Friday following approval from President Trump.
Compiled by the House Intelligence Committee leadership, the memo states that surveillance warrants used on an American citizen was largely requested due to controversial dossier produced by Fusion GPS, a firm that was at one point hired by the Democratic National Committee and Hillary Clinton’s presidential campaign. The dossier contained colorful but unverifiable information about Trump.
Democrats, the FBI and the Department of Justice objected to the release of the memo. In part, Democratic lawmakers suggested that the memo was selectively edited by Republicans to push an agenda of derailing the investigation into Russian meddling in the 2016 election. Intelligence officials have stressed the memo is incomplete.
Here is what the newly released memo contained:
The dossier was key to warrant requests
Christopher Steele, who compiled the controversial dossier containing colorful but unverifiable claims about Trump, confirmed to former associate deputy attorney general Bruce Ohr that he “was desperate that Donald Trump not get elected and was passionate about him not being president.”
FISA warrants are not easy to obtain, but the memo suggests that intelligence officials relied heavily on the dossier as well as a 2016 report from Michael Isikoff to obtain the warrants. Isikoff’s Yahoo News report, according to the memo, was “derived from information leaked by Steele himself.”
The FBI and DOJ officials were able to obtain a FISA warrant to electronically target Carter Page, a former foreign policy adviser to Trump.
Former deputy FBI Director Andrew McCabe told the House Intelligence Committee in December 2017 that a surveillance warrant would not have been sought without the dossier and what it purportedly revealed, the memo stated.
The dossier’s funding was not recorded in surveillance warrant requests
The surveillance warrants and renewals did not mention that the dossier was paid for, at least in part, by the Democratic National Committee and the campaign for Hillary Clinton. The memo says the DOJ was aware at the time of the initial FISA application that “political actors were involved with the Steele dossier.”
“Neither the initial application in October 2016, nor any of the renewals, disclose or reference the role of the DNC, Clinton campaign, or any party/campaign in funding Steele’s efforts, even though the political origins of the Steele dossier were known to senior DOJ and FBI officials,” the memo alleged.
Instead, according to the memo, the FISA application said Steele was working for a ""named U.S. person"" – but did not specifically include Fusion GPS, the firm behind the project, or its co-founder, Glenn Simpson. Fusion GPS was hired by law firm Perkins Coie, which represented the DNC and Clinton campaign.
The Associated Press contributed to this report.",RIGHT
102993,CNN,"Trump's lawyer referred a client to Stormy Daniels' former lawyer, raising new questions about collaboration","(CNN) Michael D. Cohen, President Trump's longtime personal lawyer, steered a client to Stormy Daniels' then-attorney last fall, a year after the two men negotiated a secret $130,000 deal silencing the porn star about an alleged sexual encounter with Trump, Daniels' attorney confirmed to CNN.
Keith M. Davidson said in a statement provided to CNN that Cohen gave his name to entertainment executive and Trump associate Chuck LaBella, who was being written about on Twitter by actor Tom Arnold.
The referral is potentially significant amid allegations of coziness between Davidson and Cohen contained in a lawsuit filed by another Davidson client, Karen McDougal, who also says she had an affair with Trump. The lawsuit claims that Davidson was part of a ""broad effort to silence and intimidate her and others."" Davidson disputes that claim.
Arnold accused LaBella, who worked as a producer on NBC's ""The Apprentice"" and on Trump's Miss USA and Miss Universe pageants, of possessing damning information about the President. Arnold's cryptic tweets did not provide details or evidence to back up his claims.
""Chuck LaBella has all the dirt,"" Arnold tweeted in October of last year.
""Chuck LaBella was there and knows all,"" a second tweet alleged.
A third tweet made a veiled reference to a ""Putin call"" and other matters supposedly linking Trump to Russia.
In response to the tweets, Davidson wrote an email to Arnold's attorney, Marty Singer, asking that the actor stop falsely implicating LaBella as a witness to any alleged misdeeds by Trump, according to a source who has read the email.
Davidson told CNN he was not paid for sending the correspondence and did no further work on the matter. He said he did not know whether Cohen provided LaBella with the names of other attorneys as well.
In response to an inquiry from CNN, LaBella wrote:
""Keith Davidson has never been hired as my counsel. I have never met him. I have never paid him. I have never signed any agreement with him.
""A friend called Keith on my behalf, because of his close relationship with Tom Arnold's lawyer (Marty Singer). To stop Tom Arnold from spreading these slanderous accusations and outright lies.""
Asked whether Cohen was the friend who made the referral, LaBella replied:
""After working for over 30 years in Hollywood, Keith has been know(n) as the fixer. Many people over the years have recommended Keith to me.
He has been in my rolodex, that's how I know of him.""
The New York Times and The Smoking Gun have previously reported that Cohen referred LaBella to Davidson, but did not indicate whether any of the parties involved confirmed the link.
Davidson's confirmation of the referral to CNN follows an exclusive interview earlier this week in which he said he'd spoken with President's lawyer on several occasions regarding two women who claim to have had sex with the married billionaire in 2006. Trump has denied the affairs.
Davidson said he called Cohen in the late summer of 2016 to inform him that he'd settled a case involving Playboy model McDougal. McDougal sold the rights to her story to American Media Inc., the parent company of the National Enquirer, for $150,000 and other perks. Davidson said he informed Cohen of the deal as ""a professional courtesy.""
The Enquirer never published the story, effectively silencing McDougal's claims in the run-up to the election. She has since filed a lawsuit accusing Davidson of ""working closely with representatives for Mr. Trump while pretending to advocate on her behalf.""
Davidson said Cohen had also reached out to him after Daniels appeared on ""60 Minutes"" in late March and described her alleged sexual encounter with Trump. In the interview, Daniels said her lawyer had pressured her to sign a statement falsely stating that the encounter never happened.
""I don't believe that the facts ... in the interview were a fair and accurate representation of my representation of her at the time,"" Davidson told CNN.
Davidson said Cohen advised him that he thought Daniels had violated her confidentiality agreement and encouraged Davidson to ""spill his guts"" about the true circumstances surrounding the deal.
Davidson said he consulted an ethics lawyer and still felt bound by attorney-client privilege, even though he was no longer working with Daniels. He denied working in concert with Cohen on either matter, but declined to discuss details of either case, citing attorney-client privilege.
He told CNN that he and Cohen first intersected in 2011 when Davidson called to inform him that he was representing Daniels in a bid to have a story about her having sex with Trump removed from a gossip website called TheDirty.com. He said the matter was quickly resolved and the story was removed.
Cohen has declined comment on Davidson's characterization of their alleged conversations.
Michael Avenatti, Stormy Daniels' current attorney, said: ""As more evidence comes to light relating to his close personal relationship with Michael Cohen and his efforts to protect Mr. Cohen and Mr. Trump at the expense of his clients, we grow increasingly disturbed. ... Mr. Davidson has no business doing Mr. Cohen's bidding for him.""",UNDEFINED
120697,Politico,Police: Waffle House suspect arrested,"A police vehicle sits outside a Waffle House restaurant in Nashville, Tenn., Sunday, April 22, 2018. A man wearing nothing but a coat stormed the restaurant before dawn Sunday and shot several people to death, according to police, who credited a customer with saving lives by wresting a weapon away from the gunman. | Sheila Burke/AP Photo Police: Waffle House suspect arrested
The suspect in a quadruple homicide at a Nashville Waffle House was taken into custody Monday, police said.
Authorities had mounted a massive manhunt for 29-year-old Travis Reinking, after the Sunday morning attacks.
Story Continued Below
Authorities announced the arrest Monday afternoon on Twitter, but did not immediately give details.
More than 100 Nashville police officers had been going door-to-door and searching wooded areas, joined by dozens of agents with the FBI, the U.S. Bureau of Alcohol, Tobacco, Firearms and Explosives and troopers with the Tennessee Highway Patrol.
Police said he had stolen a BMW days before the attack. The car was quickly recovered, but authorities did not immediately link it to Reinking.
Reinking, described as a white man with brown hair, opened fire with an AR-15 in the Waffle House parking lot and then stormed the restaurant shortly after 3 a.m. Sunday, police say. Four people were killed and four others were injured before a quick-thinking customer wrestled the assault weapon away, preventing more bloodshed. Reinking then disappeared, police said.
Police say about 20 people were in the Waffle House at the time of the shootings. They included people of different races and ethnicities, but the four people killed were minorities_three black and one Hispanic.
It's not clear why Reinking opened fire on restaurant patrons, though he may have ""mental issues,"" Metropolitan Nashville Police Chief Steve Anderson said earlier. He's considered armed and dangerous, because he was known to have owned a handgun authorities have not recovered.
Meanwhile, authorities in Illinois shared past reports suggesting multiple red flags about a disturbed young man with paranoid delusions.
In May 2016, Reinking told deputies from Tazewell County, Illinois, that music superstar Taylor Swift was stalking him and hacking his phone, and that his family was also involved, according to a report released Sunday.
Reinking agreed to go to a local hospital for an evaluation after repeatedly resisting the request, the sheriff's report said.
Another sheriff's report said Reinking barged into a community pool in Tremont, Illinois, last June, and jumped into the water wearing a pink woman's coat over his underwear. Investigators believed he had an AR-15 rifle in his car trunk, but it was never displayed. No charges were filed.
Last July, Reinking was arrested by the U.S. Secret Service after he crossed into a restricted area near the White House and refused to leave, saying he wanted to meet President Donald Trump. Reinking was not armed at the time, but at the FBI's request, state police in Illinois revoked his state firearms card and seized four guns from him, authorities said.
The AR-15 used in the shootings was among the firearms seized.
In August, Reinking told police he wanted to file a report about 20 to 30 people tapping into his computer and phone and people ""barking like dogs"" outside his residence, according to a report.
""There's certainly evidence that there's some sort of mental health issues involved,"" Tazewell County Sheriff Robert Huston said. But he said deputies returned the guns to Reinking's father on the promise that he would ""keep the weapons secure and out of the possession of Travis.""
Reinking's father ""has now acknowledged giving them back"" to his son, Aaron said.
Phone calls to a number listed for the father, Jeffrey Reinking, went unanswered.
It is not clear why Reinking moved recently from Morton, Illinois, and if it had anything to do with being near Swift, who has a home in Nashville. Police say he worked in construction for a while.
Police say Reinking drove into the Waffle House parking lot in his gold Chevy Silverado pickup early Sunday and sat there for about four minutes before opening fire outside the restaurant.
The victims fatally shot in the parking have been identified as Taurean Sanderlin, 29, of Goodlettsville, and Joe Perez, 20, of Nashville.
Sanderlin was an employee at the restaurant.
Perez's mother posted a picture of her son on Facebook and asked for prayers, saying it was the hardest day of her life. ""Me, my husband and sons are broken right now with this loss,"" Trisha Perez said in the post. ""Our lives are shattered.""
Reinking then entered the restaurant and opened fire, police said.
One of the fatally wounded inside was DeEbony Groves, a 21-year student at Nashville's Belmont University. She was remembered as an exceptional student who made the Dean's list, and a tenacious basketball player.
""She was a brilliant young lady, very, very intelligent and a very hard worker,"" Gallatin High School basketball coach Kim Kendrick told The Tennessean.
Akilah Dasilva was also killed inside the restaurant. The 23-year-old from Antioch was a rap artist and music video producer who had such skills behind the camera that he was a favorite among many of Music City's independent musicians and recording labels, The Tennessean reported.
""Music is my life and I will never stop until I achieve my dreams,"" Dasilva said on his Twitter account.
Dasilva's mother told CBS News that her son was a student at Middle Tennessee State University and aspired to be a music engineer.
He was at the restaurant with his girlfriend, 21-year-old Tia Waggoner, the paper reported. Waggoner was wounded and is being treated at Vanderbilt University Medical Center. Dasilva's family said she underwent surgery and doctors were trying to save her leg.
Police say Sharita Henderson, 24, of Antioch, was wounded and is being treated at VUMC.
Also wounded was James Shaw Jr., a 29-year-old restaurant patron who burned his hand grabbing the hot muzzle of the assault weapon as he wrestled the gun away. A Nashville native who works as a wireless technician for AT&T, Shaw said he was no hero — despite being hailed as one by Nashville Mayor David Briley.
Shaw said he pounced on the suspect out of self-preservation, after making up his mind that ""he was going to have to work to kill me.""
This article tagged under: Tennessee
Mass Shootings",UNDEFINED
183017,USA Today,5 killed after police chase in Big Wells,"This frame grab from video provided by KABB/WOAI-TV in San Antonio shows the scene where authorities say at least five people are dead and several others hurt as an SUV carrying more than a dozen people crashed, Sunday, June 17, 2018, in Big Wells, Texas, while fleeing from Border Patrol agents. (Photo: Provided by KABB/WOAI via AP)
SAN ANTONIO — At least five people were killed and several others injured in a crash in southwest Texas on Sunday involving a vehicle carrying undocumented immigrants, authorities said.
The accident in Dimmit County, Texas, happened just before noon off Highway 85 in Big Wells, about 90 miles southwest of San Antonio. Officials said the vehicle was traveling more than 100 mph when it ran off the road and caught gravel, causing it to roll over.
Dimmit County Sheriff Marion Boyd said there were 14 people in a Chevrolet Suburban at the time of the crash, and 12 of them were undocumented immigrants. The occupants were ejected, Boyd said. The Suburban was being chased by a Dimmit County deputy, he said.
The chase began with a Border Patrol agent as the vehicle was coming north from the border, then the Dimmit County Sheriff's deputies took over.
Feb. 21: Police: Driver drinks poison during highway chase in California
Jan. 13: Police arrest suspect after Greyhound bus pursuit near Wisconsin-Illinois border
Authorities said four people died in the crash, while nine others were injured. One person died at a San Antonio hospital. Eight others were taken to two hospitals.
Boyd said the driver of the Suburban also was injured and was flown to a hospital. He said one passenger was taken into custody.
The driver and passenger probably will face state and federal charges, Boyd said.
The incident comes amid heightened tensions over the treatment of immigrants at the southern border. The Trump administration has said tougher immigration policies — even separating children from their parents — are needed to deter immigrants from coming to the country illegally. Over a six-week period ended in May, about 2,000 children had been separated from their families, administration officials said Friday.
Contributing: The Associated Press. Follow KENS-TV on Twitter: @KENS5
Read or Share this story: https://usat.ly/2t5qQw5",CENTER
40889,The Guardian,Daughter of Swedish bookseller snatched in China fears he faces years in jail,"China Daughter of Swedish bookseller snatched in China fears he faces years in jail Gui Minhai, who specialised in gossipy books, was arrested while being taken by diplomats to embassy in Beijing Angela Gui, who’s father Gui Minhai has been arrested by Chinese police, fears he may be accused of “trafficking state secrets”. Photograph: HANDOUT/AFP/Getty Images
The daughter of a Swedish bookseller who was seized by Chinese agents while travelling with two European diplomats has said she fears her father is facing years behind bars after police claimed he was involved in “trafficking state secrets”.
Gui Minhai, a 53-year-old Hong Kong publisher who had specialised in gossipy books about China’s political elite, was taken from a Beijing-bound train on the morning of 20 January as he attempted to reach the Swedish embassy for a medical examination.
Sweden’s foreign minister this week attacked China’s “brutal intervention” while Germany’s ambassador to Beijing denounced what he called the unprecedented treatment of an EU citizen. “There is a widespread fear that these violations of international laws … could happen to other EU citizens in the future,” Michael Clauss warned.
Angela Gui, the publisher’s daughter, told the Guardian: “I just hope there will be an update soon. But I have to say that at this point I’m not very optimistic that we’ll have any sort of good news any time soon.”
Mystery continues to surround the politically charged and increasingly surreal saga of Gui Minhai, which began back in October 2015 when he vanished from his holiday home in Thailand.
Gui subsequently reappeared in custody in mainland China, making what supporters condemned as a forced confession to involvement in a fatal hit-and-run incident in 2003. Four other booksellers, including one British citizen, were also seized leading to criticism from politicians in the UK, including then foreign secretary Philip Hammond.
Gui, who became a Swedish citizen in 1992, had seemed close to release last autumn when it emerged he was living under surveillance in the eastern port city of Ningbo. However, those hopes were dashed when he was apprehended for the second time. His current whereabouts are unknown.
The Guardian understands that on the day Gui Minhai was taken, Sweden’s ambassador to China, Anna Lindstedt, went to China’s foreign ministry seeking answers. Swedish diplomats were referred to police in Ningbo who confirmed the bookseller was in detention and suspected of trafficking in state secrets.
Angela Gui said: “There is no way that he would know any state secrets that wouldn’t have anything directly to do with his case. He was in incommunicado detention for two years. So who would have told him these state secrets?”
“I can only guess that it might have something to do with what happened when he was taken the first time. And that whoever ordered this didn’t want this to come out,” she added.
China has dismissed criticism of its treatment of Gui, who supporters say was seeking medical treatment in Beijing because of fears he was suffering from a rare neurological disease.
“The Swedish side should know the case is serious in nature and some Swedish people have played an irresponsible role in this,” foreign ministry spokesman, Geng Shuang, told reporters, warning further criticism could damage bilateral relations.
On Thursday an editorial in the Communist party-run tabloid, the Global Times, accused Sweden and Germany of “rudely provoking China’s judicial sovereignty” and claimed both countries should be ashamed of their “imperialist” meddling.
Angela Gui urged more western governments to confront Beijing over her father’s plight. “It’s important to be vocal and public about this and really I would have wished that this would have happened since the very beginning when he was taken 2015. I can’t help but wonder if the international community had been more vocal back then, if we would have this situation today.”
“Nobody knows what is going to happen now. But if China is claiming he committed all these crimes, and if they are not backing down on that, that suggests there’s going to be a trial. And I expect that if there is indeed a trial he will probably get a very long sentence because of the nature of the crimes he is suspected of.”",LEFT
70071,The Wall Street Journal,"Oil Higher on Employment Data, Falling Production","Oil prices gained on Friday, lifted by positive economic data, rising stocks and declining U.S. production.
Light, sweet crude for April delivery advanced $1.92, or 3.2%, to $62.04 a barrel on the New York Mercantile Exchange, its biggest one-day percentage gain since July. Brent, the global benchmark, rose $1.88, or 3%, to $65.49 a barrel.
Prices...",UNDEFINED
125125,Breitbart,Ben Carson Tours Homeless Shelter in Los Angeles,"Dr. Ben Carson, the Secretary of Housing and Urban Development (HUD), toured a homeless women’s center on Los Angeles’s infamous Skid Row Tuesday as part of a fact-finding mission aimed at tackling homelessness and providing job training for inner-city communities throughout the United States.
According to the Los Angeles Times, Carson also stopped by a faith-based drug treatment residential center in Echo Park after his visit to Skid Row.
“I can’t imagine how anybody could walk through an area like this and not have their heartstrings tugged,” Carson told reporters, according to the Los Angeles Times.
However, the HUD secretary is also under fire for the Trump administration’s proposal to raise public housing rents.
“There is one inescapable imperative driving this reform effort,” Carson said in a call with reporters about a tripling on the cap on rent for the poorest families, according to the Washington Post. “The current system isn’t working very well. Doing nothing is not an option.”
He reportedly added, “Every year, it takes more money, millions of dollars more, to serve the same number of households. It’s clear from a budget perspective and a human point of view that the current system is unsustainable.”
Another proposal by the Trump administration would increase rents by 5 percent.
Ali Alshuailat, who lives in a housing project in Pacoima told local ABC affiliate ABC 7, “Going up five percent is not a compassionate way because a lot of people here, it’s really hard for them to make it a day. They go day by day. And these people want to come in and raise it.”
In a conference call with reporters, Carson reportedly said his proposal would encourage the 4.5 million who benefit from HUD programs to look for higher-paying jobs.
Others have suggested it will only exacerbate the city’s homelessness epidemic.
Adelle Nazarian is a politics and national security reporter for Breitbart News. Follow her on Facebook and Twitter.
Photo: file",RIGHT
115984,Fox News,Trump: US will punish Russia with sanctions 'as soon as they very much deserve it',"President Trump told reporters Wednesday evening that the U.S. would levy new sanctions against the Russian government ""as soon as they very much deserve it.""
Trump was responding to a shouted question as he posed for photos with Japanese Prime Minister Shinzo Abe following a joint news conference. The president then returned to the microphone to restate his claim that ""there has been nobody tougher on Russia than President Donald Trump.""
""We had a very, very severe ... fight in Syria recently [in February] between our troops and Russian troops and that’s very sad,"" the president said. ""Many people died in that fight.""
""With the media, no matter what I did, it’s never tough enough because that’s their narrative,"" Trump lamented. ""But Russia will tell you there has been nobody tougher than Donald Trump.""
The president spoke one day after an intra-administration quarrel over sanctions erupted in public earlier this week.
The dispute began Sunday, when U.S. Ambassador to the United Nations Nikki Haley told CBS News' ""Face the Nation"" that Treasury Secretary Steven Mnuchin would announce new sanctions directed at Russian companies associated with Syria's chemical weapons program on Monday, ""if he hasn't already.""
Three senior administration officials told The Associated Press that the sanctions would have been announced Friday night, at the same time U.S., French, and British forces launched a missile strike on Syrian President Bashar Assad's chemical weapons facilities. But the sanctions were not ready in time for Trump's statement announcing military, so they were delayed.
The officials said a decision was then made to announce the sanctions as an answer to Russia's response to the strikes. But that plan was re-evaluated and then put on hold over the weekend as it became clear that Russia's response was less robust than anticipated. The officials were not authorized to discuss private administration deliberations publicly and spoke to the AP on condition of anonymity.
A National Security Council memorandum sent overnight Friday said the new sanctions would be announced soon, but it did not specify a date. Over the next 36 hours, officials began to delve deeper into the proposed sanctions and decided to hold off on anything imminent, but Haley was unaware, the officials said.
After she made her comments on Sunday, the White House informed the Russian embassy that there would not be more sanctions as of now, an administration source told Fox News.
On Monday, a new memo went out from the NSC saying that additional sanctions were under consideration, but no decision had been made. In the face of Haley's refusal to clarify on Sunday, draft language was sent to her suggesting again that she do so, the officials said.
Haley and her office ignored that, so the White House decided to push back, the officials added.
On Tuesday, National Economic Council Director Larry Kudlow told reporters that Haley ""got ahead of the curve"" when she said new sanctions were coming. Kudlow said additional sanctions were under consideration but have yet to be implemented. Of Haley, he said, ""There might have been some momentary confusion about that.""
Haley then issued a terse statement to Fox News: ""With all due respect, I don't get confused.""
Fox News' John Roberts, Serafin Gomez and The Associated Press contributed to this report.",RIGHT
86349,CNN,Susan Collins can tell you why not to trust a promise in Washington,"(CNN) You can't trust a promise on Capitol Hill. It just doesn't ever seem to work out.
Take Maine Republican Sen. Susan Collins, who got seemingly ironclad promises in order to sign her crucial vote onto the GOP's tax reform bill (a banner achievement, but the Republicans' only real legislative accomplishment while controlling Congress and the White House). The tax bill also repealed the individual mandate -- the Obamacare requirement that Americans have health insurance or a pay a fine or tax.
One of the things Collins got in exchange for her vote , she said at the time, was the assurance of the Senate Majority Leader Mitch McConnell that he would allow a vote on her plan along with Florida Democratic Sen. Bill Nelson to give insurance companies money to help pay for the most expensive patients. Separately, there was to be a vote on a plan by Sens. Lamar Alexander, a Tennessee Republican, and Patty Murray, a Washington Democrat, to temporarily shield insurance companies from President Donald Trump's unilateral decision to end Obamacare cost-sharing subsidies that helped them provide coverage to 6 million lower-income Americans.
That was back in December. The promise to Collins was for a vote by the end of the year.
But the day after the tax vote, it was clear there would be no vote in 2017, something Collins acknowledged in a December 20 joint statement with Alexander, author of that separate bipartisan bill.
There were already indications Democrats and Republicans in the House might not be on board for the same version of the proposals. Instead, Collins and Alexander said they would introduce the stablilization bills early in 2018 and debate it around the massive ""omnibus"" spending bill lawmakers use to fund the government.
And that brings us to Thursday, nearly a quarter of the way into 2018. Republican leaders on Wednesday released the massive omnibus -- which is thousands of pages long.
Here are a few ways to look at this:
Collins was effectively rolled; McConnell made his promise to get her vote without ever intending to follow through. Events conspired against her; McConnell made the promise, but then just couldn't find a way to schedule the vote. He tried. He really did, but an immigration debate, a guns debate and other things just got in the way.
Specifically, bipartisan agreement that the government should not just turn off its subsidy payments has turned into a fight over abortion . Republicans in the House wanted to add language barring federal funding for abortions to plans offered with government help on the private market. Democrats want to stick with current language that allows abortion coverage in these private plans, but requires a separate payment for such coverage.
So, even though Senate leaders made their promise and Trump told Collins in a phone call over the weekend he supports what's in her bill, for an unrelated reason -- abortion rights -- it will now not be in the omnibus spending bill. There's also a very real question over whether the Collins proposal would result in stabilizing the market, as the Portland Press-Herald in Maine made clear.
The end result (and the lesson for any lawmaker) is the same, however. Collins gave away the valuable thing she had and didn't get what she wanted in return.
She's not the only one. Democrats pledged and promised they would do something to help undocumented immigrants brought to the country as children who signed up for the Deferred Action for Childhood Arrivals program
When he created that program, President Barack Obama promised the government would look out for them. When Trump ended the program, Democrats (and a lot of Republicans) promised to do something to fix the problem.
But when it became clear that public opinion as turning away from them, Democrats gave in, agreed to re-open the government in exchange for a debate later on.
Unlike Collins, Senate Minority Leader Chuck Schumer got his debate on immigration. It lasted a week and yielded no legislation, despite some bipartisan proposals. There was an opportunity to add protections for Dreamers in the omnibus, too, but they were also left out.
Again, the lesson here is that if you really want something in Washington, you're going to have to use up everything you've got in order to get it. And you're going to have to get it in hand before you give away your leverage.
Because the days of grand bipartisan debates in which lawmakers hash things out on the Senate or House floor are something of a myth at the moment.",UNDEFINED
